Camada_Superior,Camada_Inferior,Vel_proc,Vel_Aplicador,Diametro_Aplicador,Vel_Alimentador,Visc_seg,Temp,Pressao_Aplicador,Pressao_Alimentador,Segmento_Prod_CC,Segmento_Prod_LB
4.46,4.355,80,78.4,215.5,7.7,20.5,27.1,147.0,1338.5,0.0,1.0
4.46,4.355,80,78.4,215.5,7.7,20.5,27.1,147.0,1338.5,0.0,1.0
4.46,4.355,80,78.4,215.5,7.7,20.4,27.7,151.0,1346.5,0.0,1.0
4.46,4.355,80,78.4,215.5,7.7,20.4,27.7,151.0,1346.5,0.0,1.0
4.81,4.155,80,78.6,215.5,9.1,20.9,26.4,176.0,1087.0,0.0,1.0
4.81,4.155,80,78.6,215.5,9.1,20.9,26.4,176.0,1087.0,0.0,1.0
4.84,4.06,80,78.5,215.5,9.1,22.6,25.0,175.5,1046.0,0.0,1.0
4.84,4.06,80,78.5,215.5,9.1,22.6,25.0,175.5,1046.0,0.0,1.0
4.49,4.585,80,74.6,214.5,7.0,22.3,25.9,96.5,1090.0,0.0,1.0
4.56,4.545,80,74.6,214.5,7.0,22.0,26.1,81.5,990.0,0.0,1.0
4.68,4.53,80,74.6,214.5,7.0,22.0,26.0,70.0,987.0,0.0,1.0
4.12,4.425,80,72.9,214.5,6.3,22.6,25.1,96.5,1120.0,0.0,1.0
4.38,4.78,82,72.9,214.5,6.3,24.4,23.9,182.0,1147.0,0.0,1.0
4.46,0.0,82,72.9,214.5,6.0,24.2,24.0,255.5,1173.5,0.0,1.0
4.57,0.0,82,72.9,214.5,6.0,24.4,24.6,233.0,1149.5,0.0,1.0
4.24,0.0,82,72.9,214.5,6.0,23.5,24.4,211.0,1139.5,0.0,1.0
4.25,0.0,82,72.9,214.5,6.0,23.0,24.6,203.0,1140.0,0.0,1.0
4.34,0.0,80,72.8,214.5,6.0,21.3,26.0,187.0,1131.0,0.0,1.0
4.36,4.49,80,72.9,214.5,6.0,21.3,26.6,141.0,1114.5,0.0,1.0
4.36,4.49,80,72.9,214.5,6.0,21.3,26.6,141.0,1114.5,0.0,1.0
4.42,4.77,80,72.9,214.5,6.0,21.7,26.9,134.5,1081.5,0.0,1.0
4.42,4.77,80,72.9,214.5,6.0,21.7,26.9,134.5,1081.5,0.0,1.0
3.81,4.475,80,72.0,214.5,6.0,23.3,24.9,265.0,1587.0,0.0,1.0
3.81,4.475,80,72.0,214.5,6.0,23.3,24.9,265.0,1587.0,0.0,1.0
4.91,4.815,80,74.6,210.0,6.5,21.6,28.3,152.0,1657.0,0.0,1.0
4.44,4.715,80,74.6,210.0,6.5,20.9,27.1,128.0,1636.0,0.0,1.0
4.34,4.62,80,74.6,210.0,6.5,21.0,27.6,134.0,1628.5,0.0,1.0
4.76,4.92,80,74.6,210.0,6.5,21.7,27.8,115.0,1628.5,0.0,1.0
4.38,4.425,80,74.6,210.0,6.5,21.7,26.5,109.0,1610.0,0.0,1.0
4.27,4.31,80,74.6,210.0,6.5,21.3,26.9,108.0,1616.0,0.0,1.0
4.38,4.335,80,74.6,210.0,6.5,21.7,27.4,107.0,1611.5,0.0,1.0
4.4,4.395,80,74.6,210.0,6.5,22.3,26.2,90.5,1587.5,0.0,1.0
4.78,4.92,80,75.6,210.0,7.5,23.1,25.8,77.0,1578.0,0.0,1.0
4.85,4.885,85,79.8,210.0,7.5,23.4,26.6,138.0,1605.0,0.0,1.0
4.85,4.885,85,79.8,210.0,7.5,23.4,26.6,138.0,1605.0,0.0,1.0
4.75,5.135,80,79.8,210.0,7.5,24.6,26.1,196.5,1623.5,0.0,1.0
4.75,5.135,80,79.8,210.0,7.5,24.6,26.1,196.5,1623.5,0.0,1.0
4.79,0.0,85,79.8,210.0,7.5,23.8,26.1,303.5,1561.5,0.0,1.0
4.79,0.0,85,79.8,210.0,7.5,23.8,26.1,303.5,1561.5,0.0,1.0
4.68,4.6,80,78.5,210.0,7.5,21.6,26.4,211.5,1458.5,0.0,1.0
4.78,4.235,80,78.5,210.0,7.5,20.2,26.8,159.0,1256.5,0.0,1.0
4.37,4.13,80,78.5,210.0,7.1,20.6,25.4,190.0,1487.5,0.0,1.0
4.37,4.13,80,78.5,210.0,7.1,20.6,25.4,190.0,1487.5,0.0,1.0
4.36,4.385,80,86.1,241.0,8.8,22.8,25.9,302.0,1427.5,0.0,1.0
4.36,4.385,80,86.1,241.0,8.8,22.8,25.9,302.0,1427.5,0.0,1.0
4.36,4.385,80,78.5,210.0,7.1,24.6,21.3,283.5,1728.5,0.0,1.0
4.36,4.385,80,78.5,210.0,7.1,24.6,21.3,283.5,1728.5,0.0,1.0
4.68,4.56,50,58.2,218.0,6.8,21.1,28.2,323.5,1613.5,1.0,0.0
4.68,4.56,50,58.2,218.0,6.8,21.1,28.2,323.5,1613.5,1.0,0.0
4.88,5.05,65,71.3,218.0,7.5,21.2,27.3,279.0,1524.5,0.0,1.0
4.12,4.59,50,58.5,218.0,6.8,21.2,27.4,307.0,1644.5,1.0,0.0
4.12,4.59,50,58.5,218.0,6.8,21.2,27.4,307.0,1644.5,1.0,0.0
4.12,4.59,50,58.5,218.0,6.8,21.2,27.4,307.0,1644.5,1.0,0.0
4.48,4.875,85,76.1,218.0,6.8,22.4,27.0,250.0,1632.5,1.0,0.0
4.48,4.875,85,76.1,218.0,6.8,22.4,27.0,250.0,1632.5,1.0,0.0
4.48,4.875,85,76.1,218.0,6.8,22.4,27.0,250.0,1632.5,1.0,0.0
4.66,4.805,85,76.1,218.0,6.8,24.9,24.5,178.0,1575.5,1.0,0.0
4.78,4.52,85,78.0,218.0,6.8,22.9,26.6,204.0,1745.0,1.0,0.0
4.64,4.6,85,77.7,218.0,7.0,22.8,26.5,204.0,1699.0,1.0,0.0
4.74,4.48,85,77.7,218.0,7.6,22.3,27.1,186.5,1620.0,1.0,0.0
4.56,4.335,85,77.7,218.0,7.6,22.6,26.8,182.0,1619.5,1.0,0.0
4.53,4.4,80,75.4,218.0,7.6,21.9,27.7,177.0,1614.0,1.0,0.0
4.57,4.7,80,76.1,218.0,7.6,23.7,25.1,175.0,1606.0,1.0,0.0
4.66,4.615,80,76.1,218.0,7.6,23.5,25.1,177.0,1619.0,1.0,0.0
4.66,4.615,80,76.1,218.0,7.6,23.5,25.1,177.0,1619.0,1.0,0.0
4.75,4.65,80,76.1,218.0,7.6,23.3,25.4,167.5,1606.0,1.0,0.0
4.74,4.695,80,76.1,218.0,7.6,22.3,26.6,165.5,1611.5,1.0,0.0
4.74,4.695,80,76.1,218.0,7.6,22.3,26.6,165.5,1611.5,1.0,0.0
4.64,4.555,80,76.1,218.0,7.6,22.6,26.3,181.0,1624.5,1.0,0.0
4.64,4.555,80,76.1,218.0,7.6,22.6,26.3,181.0,1624.5,1.0,0.0
4.68,4.59,80,76.1,218.0,7.6,22.4,26.1,173.5,1620.0,1.0,0.0
4.68,4.59,80,76.1,218.0,7.6,22.4,26.1,173.5,1620.0,1.0,0.0
4.57,9.445,80,75.2,218.0,7.6,21.1,27.5,390.5,1713.5,1.0,0.0
4.57,9.445,80,75.2,218.0,7.6,21.1,27.5,390.5,1713.5,1.0,0.0
4.57,9.445,80,75.2,218.0,7.6,21.1,27.5,390.5,1713.5,1.0,0.0
4.22,4.66,85,76.7,218.0,7.6,21.4,25.8,310.0,1667.5,1.0,0.0
4.22,4.66,85,76.7,218.0,7.6,21.4,25.8,310.0,1667.5,1.0,0.0
4.32,4.285,80,74.1,218.0,6.4,20.8,26.1,299.5,1669.0,1.0,0.0
4.32,4.285,80,74.1,218.0,6.4,20.8,26.1,299.5,1669.0,1.0,0.0
4.45,4.525,80,75.5,218.0,8.4,21.4,25.6,297.5,1677.0,1.0,0.0
4.8,4.665,80,75.5,218.0,8.4,21.5,26.2,282.5,1659.5,1.0,0.0
4.8,4.665,80,75.5,218.0,8.4,21.5,26.2,282.5,1659.5,1.0,0.0
4.18,4.195,85,77.5,218.0,8.4,19.5,26.7,269.5,1661.0,1.0,0.0
4.27,4.155,80,75.4,218.0,7.2,19.6,26.8,237.5,1633.5,1.0,0.0
4.27,4.155,80,75.4,218.0,7.2,19.6,26.8,237.5,1633.5,1.0,0.0
4.42,4.02,80,75.4,218.0,7.2,19.0,27.5,260.5,1639.0,1.0,0.0
4.42,4.02,80,75.4,218.0,7.2,19.0,27.9,236.0,1636.0,1.0,0.0
4.35,4.46,70,67.2,218.0,7.2,24.0,22.4,367.5,1642.5,1.0,0.0
4.0,4.045,80,77.1,241.0,6.2,23.4,24.7,283.5,1709.5,0.0,1.0
4.0,4.045,80,77.1,241.0,6.2,23.4,24.7,283.5,1709.5,0.0,1.0
4.46,4.61,80,81.9,241.0,8.8,22.0,27.7,257.5,1532.0,0.0,1.0
4.16,4.285,85,81.9,241.0,8.8,21.7,27.2,260.5,1536.0,0.0,1.0
4.55,4.485,85,81.9,241.0,8.8,22.0,26.6,226.0,1503.0,0.0,1.0
4.84,4.865,80,82.8,241.0,8.8,22.6,26.0,165.5,1271.5,0.0,1.0
4.68,4.75,80,82.8,241.0,8.8,22.3,26.3,155.0,1259.0,0.0,1.0
4.65,4.79,80,82.8,241.0,8.8,21.6,26.3,155.5,1255.5,0.0,1.0
4.18,4.675,80,82.8,241.0,8.8,22.4,25.0,205.5,1440.0,0.0,1.0
4.18,4.675,80,82.8,241.0,8.8,22.4,25.0,205.5,1440.0,0.0,1.0
4.3,0.0,85,82.8,241.0,8.8,22.5,24.9,243.5,1445.5,0.0,1.0
4.38,0.0,80,82.8,241.0,8.8,21.9,25.7,224.5,1436.5,0.0,1.0
4.54,4.535,80,86.1,241.0,8.8,21.9,26.1,183.0,1405.0,0.0,1.0
4.46,4.61,80,86.1,241.0,8.8,22.5,25.5,180.5,1388.0,0.0,1.0
4.25,4.32,80,86.1,241.0,8.8,22.8,26.1,307.0,1435.0,0.0,1.0
4.25,4.32,80,86.1,241.0,8.8,22.8,26.1,307.0,1435.0,0.0,1.0
4.08,4.415,80,84.5,241.0,7.8,23.8,25.3,301.0,1597.5,0.0,1.0
4.08,4.415,80,84.5,241.0,7.8,23.8,25.3,301.0,1597.5,0.0,1.0
4.3,4.56,80,72.9,216.0,5.5,23.9,26.3,108.5,1822.0,0.0,1.0
4.39,4.58,80,72.9,216.0,5.5,24.4,26.3,163.5,1834.0,0.0,1.0
4.44,4.93,80,72.9,216.0,5.5,25.0,26.9,152.0,1811.5,0.0,1.0
4.44,4.93,80,72.9,216.0,5.5,25.0,26.9,152.0,1811.5,0.0,1.0
4.38,4.685,80,72.9,216.0,5.5,25.0,25.9,161.0,1809.0,0.0,1.0
4.56,4.975,80,75.5,216.0,6.4,26.4,25.1,166.0,1806.0,0.0,1.0
4.74,0.0,80,75.5,216.0,6.4,26.3,24.6,162.5,1796.5,0.0,1.0
4.44,5.025,80,75.5,216.0,6.4,27.0,23.9,173.0,1787.5,0.0,1.0
4.44,5.025,80,75.5,216.0,6.4,27.0,23.9,173.0,1787.5,0.0,1.0
4.8,0.0,80,75.5,216.0,6.4,26.9,24.2,140.5,1753.0,0.0,1.0
4.44,4.275,80,75.5,216.0,6.4,25.8,25.6,197.0,1840.0,0.0,1.0
4.56,0.0,80,75.7,216.0,7.2,24.4,26.1,149.0,1748.5,0.0,1.0
4.66,4.985,75,75.2,216.0,7.2,23.7,26.6,169.0,1535.5,0.0,1.0
4.39,4.755,80,80.7,216.0,7.2,24.2,25.4,218.5,1511.0,0.0,1.0
4.39,4.755,80,80.7,216.0,7.2,24.2,25.4,218.5,1511.0,0.0,1.0
4.46,4.725,80,77.2,211.0,5.4,24.1,26.6,191.0,1835.0,0.0,1.0
4.46,4.725,80,77.2,211.0,5.4,24.1,26.6,191.0,1835.0,0.0,1.0
4.86,4.995,82,79.4,211.0,7.8,23.7,26.0,149.5,1354.0,0.0,1.0
4.74,4.84,82,79.4,211.0,7.8,24.3,25.8,156.0,1344.5,0.0,1.0
4.74,4.84,82,79.4,211.0,7.8,24.3,25.8,156.0,1344.5,0.0,1.0
4.89,5.32,82,81.9,211.0,7.9,25.3,24.9,250.5,1190.5,0.0,1.0
4.9,0.0,80,81.0,211.0,7.2,24.0,24.9,196.0,1049.0,0.0,1.0
4.12,0.0,80,79.1,211.0,7.2,23.3,17.7,372.0,1552.5,0.0,1.0
4.38,0.0,80,79.1,211.0,7.2,25.5,24.5,359.5,1534.0,0.0,1.0
4.76,0.0,80,79.1,211.0,7.2,24.2,20.4,291.5,1209.0,0.0,1.0
4.64,4.485,80,80.3,211.0,7.2,23.3,26.4,235.5,1163.0,0.0,1.0
4.64,4.485,80,80.3,211.0,7.2,23.3,26.4,235.5,1163.0,0.0,1.0
4.56,4.58,80,80.3,211.0,7.2,22.8,21.8,209.5,1152.5,0.0,1.0
4.56,4.58,80,80.3,211.0,7.2,22.8,21.8,209.5,1152.5,0.0,1.0
4.53,4.525,80,80.3,211.0,7.2,22.7,19.5,196.5,1133.0,0.0,1.0
4.53,4.525,80,80.3,211.0,7.2,22.7,19.5,196.5,1133.0,0.0,1.0
4.22,4.225,80,78.3,211.0,7.2,23.0,18.2,199.0,1185.5,0.0,1.0
4.22,4.225,80,78.3,211.0,7.2,23.0,18.2,199.0,1185.5,0.0,1.0
4.14,4.425,80,76.8,211.0,7.2,23.9,24.6,177.5,1156.0,0.0,1.0
4.14,4.425,80,76.8,211.0,7.2,23.9,24.6,177.5,1156.0,0.0,1.0
4.56,4.44,75,76.8,211.0,7.2,23.8,25.8,167.0,1147.0,0.0,1.0
4.16,4.49,75,70.8,211.0,5.6,24.2,26.0,390.5,1842.5,0.0,1.0
4.16,4.49,75,70.8,211.0,5.6,24.2,26.0,390.5,1842.5,0.0,1.0
3.59,3.97,75,70.8,211.0,5.6,24.3,25.6,380.5,1832.5,0.0,1.0
3.59,3.97,75,70.8,211.0,5.6,24.3,25.6,380.5,1832.5,0.0,1.0
4.07,4.345,75,70.8,211.0,5.6,25.1,26.9,348.0,1875.5,0.0,1.0
4.07,4.345,75,70.8,211.0,5.6,25.1,26.9,348.0,1875.5,0.0,1.0
4.4,4.665,80,70.6,211.0,5.6,23.4,16.3,275.0,1758.5,0.0,1.0
4.4,4.665,80,70.6,211.0,5.6,23.5,27.3,270.5,1754.0,0.0,1.0
4.34,4.575,80,70.6,211.0,5.6,22.0,27.7,262.5,1729.5,0.0,1.0
4.34,4.575,80,70.6,211.0,5.6,22.0,27.7,262.5,1729.5,0.0,1.0
4.54,4.93,80,70.6,211.0,5.6,24.8,27.3,255.5,1734.0,0.0,1.0
4.54,4.93,80,70.6,211.0,5.6,24.8,27.3,255.5,1734.0,0.0,1.0
4.76,4.87,80,70.6,211.0,5.6,24.0,27.3,247.5,1731.5,0.0,1.0
4.41,4.655,80,70.6,211.0,5.6,22.9,17.6,244.5,1712.5,0.0,1.0
4.23,4.535,80,70.6,211.0,5.6,22.5,19.9,294.5,1885.5,0.0,1.0
4.66,4.87,80,72.1,211.0,5.6,24.3,18.7,233.0,1718.0,0.0,1.0
4.89,5.085,80,76.5,211.0,6.3,24.7,26.3,225.0,1698.5,0.0,1.0
4.89,5.085,80,76.5,211.0,6.3,24.7,26.3,225.0,1698.5,0.0,1.0
4.95,5.185,80,80.6,211.0,6.3,23.8,26.9,242.5,1748.0,0.0,1.0
4.73,4.58,80,80.6,211.0,6.3,22.2,27.8,234.0,1744.0,0.0,1.0
4.73,4.58,80,80.6,211.0,6.3,22.2,27.8,234.0,1744.0,0.0,1.0
4.65,4.68,80,80.3,211.0,7.8,22.1,25.8,240.0,1774.5,0.0,1.0
4.65,4.68,80,80.3,211.0,7.8,22.1,25.8,240.0,1774.5,0.0,1.0
4.57,4.64,80,80.3,211.0,7.8,23.0,23.3,153.0,1665.0,0.0,1.0
4.57,4.64,80,80.3,211.0,7.8,23.0,23.3,153.0,1665.0,0.0,1.0
4.88,4.965,70,75.3,211.0,7.5,23.3,18.7,304.5,1761.5,0.0,1.0
4.76,4.61,50,57.6,211.0,6.5,23.9,26.7,220.0,1530.0,1.0,0.0
4.76,4.61,50,57.6,211.0,6.5,23.9,26.7,220.0,1530.0,1.0,0.0
4.38,4.32,60,58.2,211.0,5.7,22.9,26.7,210.0,1766.0,1.0,0.0
4.38,4.32,60,58.2,211.0,5.7,22.9,26.7,210.0,1766.0,1.0,0.0
4.38,4.85,80,70.8,211.0,5.7,22.4,26.6,248.0,1824.0,1.0,0.0
4.38,4.85,80,70.8,211.0,5.7,22.4,26.6,248.0,1824.0,1.0,0.0
4.35,4.515,80,70.8,211.0,5.7,22.5,26.2,225.0,1812.0,1.0,0.0
4.35,4.515,80,70.8,211.0,5.7,22.5,26.2,225.0,1812.0,1.0,0.0
4.35,4.515,80,70.8,211.0,5.7,22.5,26.2,225.0,1812.0,1.0,0.0
4.21,4.365,80,70.8,211.0,5.7,23.2,19.7,220.0,1801.5,1.0,0.0
4.21,4.365,80,70.8,211.0,5.7,23.2,19.7,220.0,1801.5,1.0,0.0
4.21,4.365,80,70.8,211.0,5.7,23.2,19.7,220.0,1801.5,1.0,0.0
